Instrument Name,DustTrak DRX
Model Number,8534
Serial Number,8534203806
Firmware Version,3.7
Calibration Date,22/02/2024
Test Name,ESJB_dt02_001
Test Start Time,05:04:05 PM
Test Start Date,28/10/2024
Test Length [D:H:M],2:23:57
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.022
PM1 Minimum [mg/m3],0.010
PM1 Maximum [mg/m3],0.073
PM1 TWA [mg/m3],0.017
PM2.5 Average [mg/m3],0.022
PM2.5 Minimum [mg/m3],0.010
PM2.5 Maximum [mg/m3],0.073
PM2.5 TWA [mg/m3],0.017
PM4 Average [mg/m3],0.023
PM4 Minimum [mg/m3],0.011
PM4 Maximum [mg/m3],0.077
PM4 TWA [mg/m3],0.017
PM10 Average [mg/m3],0.035
PM10 Minimum [mg/m3],0.011
PM10 Maximum [mg/m3],0.152
PM10 TWA [mg/m3],0.022
TOTAL Average [mg/m3],0.047
TOTAL Minimum [mg/m3],0.011
TOTAL Maximum [mg/m3],0.284
TOTAL TWA [mg/m3],0.024
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4317

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
12900,0.013,0.013,0.014,0.016,0.016,,
12960,0.013,0.013,0.014,0.016,0.016,,
13020,0.013,0.013,0.014,0.017,0.017,,
13080,0.014,0.014,0.014,0.017,0.017,,
13140,0.013,0.013,0.014,0.016,0.016,,
13200,0.014,0.014,0.014,0.017,0.017,,
13260,0.013,0.013,0.014,0.016,0.017,,
13320,0.013,0.013,0.014,0.015,0.015,,
13380,0.013,0.013,0.014,0.016,0.016,,
13440,0.013,0.013,0.014,0.016,0.016,,
13500,0.014,0.014,0.014,0.016,0.016,,
13560,0.014,0.014,0.014,0.016,0.016,,
13620,0.013,0.013,0.014,0.016,0.016,,
13680,0.013,0.013,0.014,0.016,0.016,,
13740,0.014,0.014,0.014,0.016,0.016,,
13800,0.014,0.014,0.014,0.016,0.016,,
13860,0.014,0.014,0.014,0.017,0.017,,
13920,0.014,0.014,0.014,0.016,0.017,,
13980,0.013,0.013,0.014,0.016,0.016,,
14040,0.014,0.014,0.014,0.016,0.017,,
14100,0.014,0.014,0.014,0.016,0.017,,
14160,0.014,0.014,0.014,0.017,0.017,,
14220,0.013,0.013,0.014,0.016,0.017,,
14280,0.013,0.013,0.014,0.015,0.015,,
14340,0.014,0.014,0.014,0.016,0.016,,
14400,0.014,0.014,0.014,0.017,0.017,,
14460,0.014,0.014,0.014,0.016,0.016,,
14520,0.014,0.014,0.014,0.017,0.017,,
14580,0.014,0.014,0.014,0.017,0.017,,
14640,0.014,0.014,0.015,0.017,0.017,,
14700,0.015,0.015,0.015,0.018,0.018,,
14760,0.015,0.015,0.015,0.017,0.017,,
14820,0.014,0.014,0.015,0.017,0.017,,
14880,0.014,0.014,0.014,0.016,0.016,,
14940,0.014,0.014,0.015,0.016,0.017,,
15000,0.014,0.014,0.015,0.017,0.018,,
15060,0.015,0.015,0.015,0.017,0.018,,
15120,0.014,0.014,0.015,0.017,0.017,,
15180,0.014,0.014,0.015,0.017,0.017,,
15240,0.014,0.014,0.015,0.017,0.017,,
15300,0.014,0.014,0.015,0.017,0.017,,
15360,0.015,0.015,0.015,0.017,0.017,,
15420,0.014,0.014,0.015,0.016,0.016,,
15480,0.015,0.015,0.015,0.017,0.017,,
15540,0.015,0.015,0.015,0.017,0.017,,
15600,0.015,0.015,0.015,0.016,0.017,,
15660,0.014,0.014,0.015,0.017,0.017,,
15720,0.015,0.015,0.015,0.017,0.018,,
15780,0.014,0.014,0.015,0.016,0.016,,
15840,0.014,0.014,0.015,0.017,0.017,,
15900,0.015,0.015,0.015,0.017,0.017,,
15960,0.014,0.014,0.015,0.017,0.017,,
16020,0.014,0.014,0.015,0.017,0.017,,
16080,0.015,0.015,0.015,0.017,0.017,,
16140,0.014,0.014,0.015,0.016,0.016,,
16200,0.014,0.014,0.015,0.016,0.016,,
16260,0.015,0.015,0.015,0.017,0.018,,
16320,0.014,0.014,0.014,0.016,0.017,,
16380,0.015,0.015,0.015,0.016,0.016,,
16440,0.014,0.014,0.015,0.016,0.016,,
16500,0.015,0.015,0.015,0.017,0.017,,
16560,0.015,0.015,0.015,0.017,0.017,,
16620,0.014,0.014,0.015,0.016,0.016,,
16680,0.014,0.014,0.015,0.016,0.016,,
16740,0.014,0.014,0.015,0.016,0.016,,
16800,0.015,0.015,0.015,0.016,0.016,,
16860,0.015,0.015,0.015,0.016,0.016,,
16920,0.014,0.014,0.015,0.016,0.016,,
16980,0.014,0.014,0.015,0.016,0.016,,
17040,0.015,0.015,0.015,0.017,0.017,,
17100,0.015,0.015,0.015,0.017,0.017,,
17160,0.015,0.015,0.015,0.017,0.017,,
17220,0.015,0.015,0.015,0.017,0.017,,
17280,0.014,0.014,0.015,0.016,0.016,,
17340,0.015,0.015,0.015,0.017,0.017,,
17400,0.014,0.014,0.015,0.016,0.016,,
17460,0.014,0.014,0.015,0.016,0.016,,
17520,0.015,0.015,0.015,0.017,0.017,,
17580,0.014,0.014,0.015,0.015,0.015,,
17640,0.015,0.015,0.015,0.016,0.017,,
17700,0.015,0.015,0.015,0.017,0.017,,
17760,0.014,0.014,0.014,0.016,0.016,,
17820,0.014,0.014,0.015,0.016,0.016,,
17880,0.014,0.014,0.015,0.016,0.016,,
17940,0.014,0.014,0.015,0.016,0.016,,
18000,0.014,0.014,0.015,0.016,0.016,,
18060,0.014,0.014,0.015,0.016,0.016,,
18120,0.014,0.014,0.015,0.016,0.016,,
18180,0.014,0.014,0.015,0.016,0.016,,
18240,0.014,0.014,0.015,0.016,0.017,,
18300,0.014,0.014,0.015,0.016,0.016,,
18360,0.015,0.015,0.015,0.016,0.016,,
18420,0.015,0.015,0.015,0.017,0.017,,
18480,0.015,0.015,0.015,0.016,0.016,,
18540,0.015,0.015,0.015,0.017,0.017,,
18600,0.015,0.015,0.015,0.017,0.017,,
18660,0.015,0.015,0.015,0.017,0.017,,
18720,0.015,0.015,0.015,0.017,0.017,,
18780,0.014,0.014,0.014,0.016,0.016,,
18840,0.015,0.015,0.015,0.016,0.016,,
18900,0.015,0.015,0.015,0.017,0.017,,
18960,0.015,0.015,0.015,0.016,0.016,,
19020,0.015,0.015,0.015,0.016,0.017,,
19080,0.015,0.015,0.015,0.016,0.016,,
19140,0.015,0.015,0.015,0.017,0.017,,
19200,0.015,0.015,0.015,0.017,0.017,,
19260,0.015,0.015,0.015,0.016,0.016,,
19320,0.015,0.015,0.015,0.016,0.016,,
19380,0.015,0.015,0.015,0.017,0.017,,
19440,0.015,0.015,0.015,0.016,0.016,,
19500,0.015,0.015,0.016,0.017,0.017,,
19560,0.015,0.015,0.015,0.016,0.016,,
19620,0.015,0.015,0.015,0.017,0.017,,
19680,0.015,0.015,0.016,0.017,0.017,,
19740,0.015,0.015,0.016,0.017,0.017,,
19800,0.015,0.015,0.015,0.017,0.017,,
19860,0.015,0.015,0.016,0.017,0.017,,
19920,0.015,0.015,0.016,0.017,0.017,,
19980,0.015,0.015,0.016,0.017,0.017,,
20040,0.015,0.015,0.016,0.017,0.017,,
20100,0.016,0.016,0.016,0.017,0.017,,
20160,0.016,0.016,0.016,0.018,0.018,,
20220,0.015,0.015,0.016,0.017,0.017,,
20280,0.015,0.015,0.016,0.018,0.018,,
20340,0.015,0.015,0.016,0.017,0.018,,
20400,0.016,0.016,0.016,0.017,0.018,,
20460,0.015,0.015,0.016,0.017,0.017,,
20520,0.016,0.016,0.016,0.017,0.017,,
20580,0.015,0.015,0.016,0.017,0.017,,
20640,0.016,0.016,0.016,0.017,0.018,,
20700,0.016,0.016,0.016,0.017,0.017,,
20760,0.016,0.016,0.016,0.018,0.018,,
20820,0.016,0.016,0.016,0.017,0.017,,
20880,0.016,0.016,0.016,0.017,0.017,,
20940,0.017,0.017,0.017,0.018,0.018,,
21000,0.018,0.018,0.018,0.020,0.021,,
21060,0.018,0.018,0.018,0.021,0.021,,
21120,0.018,0.018,0.018,0.021,0.021,,
21180,0.018,0.018,0.019,0.021,0.021,,
21240,0.018,0.018,0.018,0.020,0.020,,
21300,0.018,0.018,0.018,0.020,0.021,,
21360,0.018,0.018,0.018,0.020,0.020,,
21420,0.018,0.018,0.018,0.020,0.020,,
21480,0.018,0.018,0.019,0.021,0.021,,
21540,0.019,0.019,0.019,0.020,0.020,,
21600,0.018,0.018,0.018,0.021,0.021,,
21660,0.019,0.019,0.019,0.022,0.022,,
21720,0.020,0.020,0.020,0.022,0.023,,
21780,0.019,0.019,0.020,0.022,0.023,,
21840,0.019,0.019,0.019,0.021,0.022,,
21900,0.019,0.019,0.019,0.021,0.022,,
21960,0.019,0.019,0.019,0.021,0.021,,
22020,0.019,0.019,0.019,0.021,0.021,,
22080,0.019,0.019,0.019,0.021,0.021,,
22140,0.019,0.019,0.019,0.021,0.021,,
22200,0.019,0.019,0.019,0.021,0.021,,
22260,0.019,0.019,0.019,0.021,0.022,,
22320,0.019,0.019,0.020,0.022,0.022,,
22380,0.019,0.019,0.020,0.021,0.021,,
22440,0.019,0.019,0.020,0.022,0.022,,
22500,0.019,0.019,0.019,0.021,0.022,,
22560,0.019,0.019,0.020,0.022,0.022,,
22620,0.019,0.019,0.019,0.021,0.021,,
22680,0.019,0.019,0.020,0.022,0.022,,
22740,0.019,0.019,0.019,0.021,0.021,,
22800,0.019,0.019,0.020,0.021,0.021,,
22860,0.019,0.019,0.020,0.021,0.021,,
22920,0.020,0.020,0.020,0.022,0.023,,
22980,0.020,0.020,0.020,0.022,0.023,,
23040,0.020,0.020,0.020,0.022,0.022,,
23100,0.020,0.020,0.020,0.022,0.022,,
23160,0.019,0.019,0.020,0.021,0.021,,
23220,0.020,0.020,0.020,0.021,0.022,,
23280,0.019,0.019,0.020,0.021,0.022,,
23340,0.020,0.020,0.020,0.021,0.021,,
23400,0.019,0.019,0.020,0.021,0.021,,
23460,0.020,0.020,0.020,0.021,0.021,,
23520,0.020,0.020,0.020,0.022,0.022,,
23580,0.020,0.020,0.020,0.021,0.021,,
23640,0.020,0.020,0.020,0.021,0.022,,
23700,0.020,0.020,0.020,0.021,0.021,,
23760,0.020,0.020,0.020,0.021,0.021,,
23820,0.021,0.021,0.021,0.022,0.023,,
23880,0.020,0.020,0.020,0.022,0.022,,
23940,0.020,0.020,0.021,0.023,0.023,,
24000,0.020,0.020,0.020,0.022,0.022,,
24060,0.020,0.020,0.020,0.021,0.022,,
24120,0.020,0.020,0.020,0.022,0.022,,
24180,0.020,0.020,0.020,0.022,0.022,,
24240,0.020,0.020,0.020,0.021,0.021,,
24300,0.020,0.020,0.021,0.022,0.022,,
24360,0.020,0.020,0.021,0.022,0.023,,
24420,0.020,0.020,0.021,0.022,0.022,,
24480,0.020,0.020,0.021,0.022,0.022,,
24540,0.020,0.020,0.021,0.022,0.022,,
24600,0.021,0.021,0.021,0.023,0.024,,
24660,0.020,0.020,0.020,0.022,0.023,,
24720,0.020,0.020,0.021,0.022,0.022,,
24780,0.020,0.020,0.021,0.022,0.022,,
24840,0.020,0.020,0.021,0.022,0.022,,
24900,0.021,0.021,0.021,0.023,0.023,,
24960,0.021,0.021,0.021,0.022,0.022,,
25020,0.021,0.021,0.021,0.023,0.023,,
25080,0.020,0.020,0.021,0.022,0.022,,
25140,0.021,0.021,0.021,0.022,0.023,,
25200,0.021,0.021,0.021,0.022,0.022,,
25260,0.021,0.021,0.021,0.022,0.023,,
